team_id,name,short_name,abbreviation,nickname,mascot,color,alternate_color,logo,conference_id,location,venue_id,venue_name
199,Southeastern Oklahoma State Savage Storm,SE OK ST,SEOS,SE OK ST,Savage Storm,000000,,,,Southeastern Oklahoma State,,
79,Southern Illinois Salukis,S Illinois,SIU,S Illinois,Salukis,85283D,c2c3c0,,,Southern Illinois,,
200,Southern Nazarene Crimson Storm,S Nazarene,STN,S Nazarene,Crimson Storm,000000,,,,Southern Nazarene,,
253,Southern Utah Thunderbirds,Southern Utah,SUU,Southern Utah,Thunderbirds,c72026,000000,,,Southern Utah,,
81,Springfield Pride,Springfld,SPR,Springfld,Pride,000000,,,,Springfield,,
133,St. Olaf Oles,St. Olaf,STO,St. Olaf,Oles,000000,d18c29,,,St. Olaf,,
24,Stanford Cardinal,Stanford,STAN,,Cardinal,8c1515,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,1.0,Stanford,3940.0,
56,Stetson Hatters,Stetson,STET,Stetson,Hatters,0a5640,56854e,,,Stetson,,
284,Stonehill Skyhawks,Stonehill,STO,Stonehill,Skyhawks,000000,,,,Stonehill,,
216,Susquehanna River Hawks,Susquehnna,SUS,Susquehnna,River Hawks,6b1a31,fd6b0d,,,Susquehanna,,
183,Syracuse Orange,Syracuse,SYR,,Orange,ff6500,000e54,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,1.0,Syracuse,1964.0,
218,Temple Owls,Temple,TEM,,Owls,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,151.0,Temple,3806.0,
245,Texas A&M Aggies,Texas A&M,TA&M,,Aggies,500000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,8.0,Texas A&M,3795.0,
251,Texas Longhorns,Texas,TEX,,Longhorns,c15d26,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8.0,Texas,3910.0,
119,Towson Tigers,Towson,TOW,Towson,Tigers,FFC229,,,,Towson,,
112,Tufts Jumbos,Tufts,TUF,Tufts,Jumbos,3e8ede,c6beb6,,,Tufts,,
202,Tulsa Golden Hurricane,Tulsa,TLSA,,Golden Hurricane,003595,d0b787,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png,151.0,Tulsa,3674.0,
5,UAB Blazers,UAB,UAB,,Blazers,003b28,ffc845,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,151.0,UAB,3803.0,
302,UC Davis Aggies,UC Davis,UCD,UC Davis,Aggies,002855,c3c4c6,,,UC Davis,,
26,UCLA Bruins,UCLA,UCLA,,Bruins,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,5.0,UCLA,1056.0,
41,UConn Huskies,UConn,CONN,,Huskies,0c2340,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,18.0,UConn,3892.0,
30,USC Trojans,USC,USC,,Trojans,9e2237,ffcc00,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,5.0,USC,477.0,
237,Union Garnet Chargers,Union,UNNY,Union,Garnet Chargers,000000,,,,Union,,
184,University of Rochester (NY) Yellow Jackets,Rochester,ROC,Rochester,Yellow Jackets,000000,,,,University of Rochester (NY),,
254,Utah Utes,Utah,UTAH,,Utes,ea002a,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,4.0,Utah,587.0,
238,Vanderbilt Commodores,Vanderbilt,VAN,,Commodores,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,8.0,Vanderbilt,3973.0,
222,Villanova Wildcats,Villanova,VILL,Villanova,Wildcats,00205b,13b5ea,,,Villanova,,
258,Virginia Cavaliers,Virginia,UVA,,Cavaliers,232d4b,f84c1e,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,1.0,Virginia,3923.0,
259,Virginia Tech Hokies,Virginia Tech,VT,,Hokies,630031,cf4520,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,1.0,Virginia Tech,3799.0,
89,Wabash College Little Giants,Wabash,WAB,Wabash,Little Giants,000000,,,,Wabash College,,
154,Wake Forest Demon Deacons,Wake Forest,WAKE,,Demon Deacons,000000,ceb888,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,1.0,Wake Forest,3630.0,
264,Washington Huskies,Washington,WASH,,Huskies,33006f,e8d3a2,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,5.0,Washington,3765.0,
265,Washington State Cougars,Washington St,WSU,,Cougars,981e32,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png,9.0,Washington State,3820.0,
143,Washington University (St. Louis) Bears,Wash St Louis,WSTL,Wash St Louis,Bears,000000,,,,Washington University (St. Louis),,
131,Wayne State (MI) Warriors,Wayne State MI,WAY,Wayne State MI,Warriors,000000,,,,Wayne State (MI),,
223,West Chester Golden Rams,W Chester,WES,W Chester,Golden Rams,000000,,,,West Chester,,
277,West Virginia Mountaineers,West Virginia,WVU,,Mountaineers,002855,eaaa00,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,4.0,West Virginia,3842.0,
98,Western Kentucky Hilltoppers,Western KY,WKU,,Hilltoppers,F32026,b3b5b8,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png,12.0,Western Kentucky,3796.0,
275,Wisconsin Badgers,Wisconsin,WIS,,Badgers,c4012f,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,5.0,Wisconsin,347.0,
271,Wisconsin-Oshkosh Titans,Wis Osh,WISO,Wis Osh,Titans,000000,,,,Wisconsin-Oshkosh,,
272,Wisconsin-Platteville Pioneers,Wis Platte,WIPL,Wis Platte,Pioneers,000000,,,,Wisconsin-Platteville,,
43,Yale Bulldogs,Yale,YALE,Yale,Bulldogs,004a81,286dc0,,,Yale,,
2306,Kansas State Wildcats,Kansas St,KSU,,Wildcats,3c0969,e2e3e4,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,4.0,Kansas State,3636.0,
2439,UNLV Rebels,UNLV,UNLV,,Rebels,b10202,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,17.0,UNLV,3914.0,
2305,Kansas Jayhawks,Kansas,KU,,Jayhawks,0051ba,e8000d,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,4.0,Kansas,3833.0,
2534,Sam Houston Bearkats,Sam Houston,SHSU,,Bearkats,fe5000,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,12.0,Sam Houston,3647.0,
322,Lafayette Leopards,Lafayette,LAF,,Leopards,790000,a59474,https://a.espncdn.com/i/teamlogos/ncaa/500/322.png,27.0,Lafayette,3721.0,
2116,UCF Knights,UCF,UCF,,Knights,000000,b4a269,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,4.0,UCF,3652.0,
2169,Delaware State Hornets,Delaware St,DSU,,Hornets,FF3630,009cdd,https://a.espncdn.com/i/teamlogos/ncaa/500/2169.png,24.0,Delaware State,3613.0,
2433,UL Monroe Warhawks,UL Monroe,ULM,,Warhawks,231F20,b18445,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,37.0,UL Monroe,3817.0,
2598,Saint Francis Red Flash,Saint Francis,SFPA,,Red Flash,a20012,,https://a.espncdn.com/i/teamlogos/ncaa/500/2598.png,25.0,Saint Francis,3694.0,
2006,Akron Zips,Akron,AKR,,Zips,00285e,84754e,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,15.0,Akron,3768.0,
2751,Wyoming Cowboys,Wyoming,WYO,,Cowboys,492f24,ffc425,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,17.0,Wyoming,3984.0,
2110,Central Arkansas Bears,C Arkansas,CARK,,Bears,a7a9ac,8e959a,https://a.espncdn.com/i/teamlogos/ncaa/500/2110.png,177.0,Central Arkansas,3711.0,
2210,Elon Phoenix,Elon,ELON,,Phoenix,020303,b59a57,https://a.espncdn.com/i/teamlogos/ncaa/500/2210.png,48.0,Elon,3894.0,
2630,UT Martin Skyhawks,UT Martin,UTM,,Skyhawks,FF6700,102a5c,https://a.espncdn.com/i/teamlogos/ncaa/500/2630.png,179.0,UT Martin,3748.0,
2084,Buffalo Bulls,Buffalo,BUFF,,Bulls,041A9B,ebebeb,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,15.0,Buffalo,3965.0,
2617,Stephen F. Austin Lumberjacks,SF Austin,SFA,,Lumberjacks,393996,bec0c2,https://a.espncdn.com/i/teamlogos/ncaa/500/2617.png,30.0,Stephen F. Austin,3756.0,
2011,Alabama State Hornets,Alabama St,ALST,,Hornets,e9a900,0a0a0a,https://a.espncdn.com/i/teamlogos/ncaa/500/2011.png,31.0,Alabama State,3689.0,
2132,Cincinnati Bearcats,Cincinnati,CIN,,Bearcats,000000,717073,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,4.0,Cincinnati,3854.0,
2619,Stony Brook Seawolves,Stony Brook,STBK,,Seawolves,990000,,https://a.espncdn.com/i/teamlogos/ncaa/500/2619.png,48.0,Stony Brook,3788.0,
349,Army Black Knights,Army,ARMY,,Black Knights,ce9c00,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png,151.0,Army,3841.0,
2627,Tarleton State Texans,Tarleton St,TAR,,Texans,000000,,https://a.espncdn.com/i/teamlogos/ncaa/500/2627.png,177.0,Tarleton State,3827.0,
2711,Western Michigan Broncos,W Michigan,WMU,,Broncos,532e1f,8b7f79,https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,15.0,Western Michigan,3980.0,
338,Kennesaw State Owls,Kennesaw St,KENN,,Owls,fdbb30,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png,12.0,Kennesaw State,4899.0,
2429,Charlotte 49ers,Charlotte,CLT,,49ers,ffffff,cfab7a,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,151.0,Charlotte,4418.0,
2026,App State Mountaineers,App State,APP,,Mountaineers,000000,ffcd00,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,37.0,App State,3792.0,
2229,Florida International Panthers,FIU,FIU,,Panthers,001538,c5960c,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,12.0,Florida International,218.0,
2065,Bethune-Cookman Wildcats,Bethune,BCU,,Wildcats,7b1831,e9aa12,https://a.espncdn.com/i/teamlogos/ncaa/500/2065.png,31.0,Bethune-Cookman,3850.0,
356,Illinois Fighting Illini,Illinois,ILL,,Fighting Illini,ff5f05,13294b,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,5.0,Illinois,3597.0,
2710,Western Illinois Leathernecks,W Illinois,WIU,,Leathernecks,4e1e8a,ffc90a,https://a.espncdn.com/i/teamlogos/ncaa/500/2710.png,179.0,Western Illinois,3746.0,
2681,Wagner Seahawks,Wagner,WAG,,Seahawks,00483A,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2681.png,25.0,Wagner,3979.0,
2117,Central Michigan Chippewas,C Michigan,CMU,,Chippewas,6a0032,ffc82e,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,15.0,Central Michigan,3786.0,
2633,Tennessee Volunteers,Tennessee,TENN,,Volunteers,ff8200,58595b,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,8.0,Tennessee,3853.0,
2572,Southern Miss Golden Eagles,Southern Miss,USM,,Golden Eagles,FFAA3C,ffc423,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,37.0,Southern Miss,3815.0,
344,Mississippi State Bulldogs,Mississippi St,MSST,,Bulldogs,5d1725,c1c6c8,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,8.0,Mississippi State,3693.0,
2226,Florida Atlantic Owls,FAU,FAU,,Owls,00447c,d31245,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,151.0,Florida Atlantic,3715.0,
2509,Purdue Boilermakers,Purdue,PUR,,Boilermakers,000000,cfb991,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,5.0,Purdue,3907.0,
2050,Ball State Cardinals,Ball State,BALL,,Cardinals,DA0000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,15.0,Ball State,3919.0,
2655,Tulane Green Wave,Tulane,TULN,,Green Wave,006547,468ac9,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,151.0,Tulane,4729.0,
